PHÂN TÍCH DATABASE,Category,Subcategory,Address,State,Zip,Phone,Hours_Mon,Hours_Tue,Hours_Wed,Hours_Thu,Hours_Fri,Hours_Sat,Hours_Sun,Email,Website,Languages,Services,Vietnamese_Speaking,Years_Experience,Notes,Google_Maps_Search,"Has_Number=IF(REGEXMATCH(D2,""[0-9]""),""YES"",""NO"")",Google_Maps_Link,Link_Type
St Peter Vietnamese Catholic Church,Religious,Catholic Church,10123 Garland Rd,TX,75218,,,,,,,,,,,Vietnamese/English,Vietnamese Catholic Church,Yes,,,St Peter Catholic Dallas,,https://www.google.com/maps/place/?q=place_id:ChIJ1w9X0hGhToYR7qqjwmZ38Wg,PLACE_ID
Lee's Sandwiches,Restaurant,Vietnamese,3212 N Jupiter Rd,TX,75044,(972) 530-5388,7:00 AM - 7:40 PM,7:00 AM - 7:40 PM,7:00 AM - 7:40 PM,7:00 AM - 7:40 PM,7:00 AM - 7:40 PM,7:00 AM - 7:40 PM,7:00 AM - 7:40 PM,,,Vietnamese/English,,Yes,,"Vietnamese sandwiches, chain quality","Lee's Sandwiches Garland TX""",,https://www.google.com/maps/place/?q=place_id:ChIJw2knOYoeTIYRtG8UyCezqGo,PLACE_ID
Dong Que Vietnamese Restaurant (Quan Ngon 89),Restaurant,Vietnamese,3555 W. Walnut St. #205,TX,75042,(469) 298-2747,10:00 AM - 9:45 PM,10:00 AM - 9:45 PM,10:00 AM - 9:45 PM,10:00 AM - 9:45 PM,10:00 AM - 9:45 PM,10:00 AM - 9:45 PM,10:00 AM - 9:45 PM,,,Vietnamese/English,,Yes,,,Dong Que Restaurant Garland,,https://www.google.com/maps/place/?q=place_id:ChIJFxBA4hUeTIYRdvR2wWyIeb4,PLACE_ID
Nam Hua Vietnamese Cuisine,Restaurant,Vietnamese,3112 N Jupiter Rd #305,TX,75044,Contact via Cali Saigon Mall,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,,,Vietnamese/English,,Yes,,,"Nam Hua Vietnamese Cuisine Garland""",,https://www.google.com/maps/place/?q=place_id:ChIJD9INgIoeTIYR1ltfsoMTT2I,PLACE_ID
GOC HUE,Restaurant,Vietnamese,3315 Belt Line Road,TX,75044,(972) 496-2525,,,,**CLOSED**,,,,,,Vietnamese/English,,Yes,,,GOC HUE Garland TX,,https://www.google.com/maps/place/?q=place_id:ChIJQ8JhAcIfTIYRllOkgk_Vikk,PLACE_ID
Pho Chau's Vietnamese Restaurant,Restaurant,Vietnamese,3265 Broadway Blvd Suite 103,TX,75043,(972) 278-0612,,**CLOSED**,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,,,,Vietnamese/English,,Yes,,,Pho Chau's Garland TX,,https://www.google.com/maps/place/?q=place_id:ChIJW82176mnToYRl3oBX_sRF1M,PLACE_ID
Lua Kitchen,Restaurant,Vietnamese,5014 N Jupiter Rd,TX,75044,(214) 238-7161,,,**CLOSED**,,,,10:00 AM - 9:00 PM,,,Vietnamese/English,,Yes,,,Lua Kitchen Garland,,https://www.google.com/maps/place/?q=place_id:ChIJB6otEAAfTIYR1CcVIN51BgI,PLACE_ID
Pho Ca Dao Noodle & Grill,Restaurant,Vietnamese,4545 W Walnut St,TX,75042,(972) 487-5724,,,,,5:00 PM - 1:45 AM,5:00 PM - 1:45 AM,,,,Vietnamese/English,,Yes,,Late night hours,"Pho Ca Dao Garland""",,https://www.google.com/maps/place/?q=place_id:ChIJ5WnbAjQeTIYRKvOZP3C4_eY,PLACE_ID
Che Banh Mi #1,Restaurant,Vietnamese,3212 N Jupiter Rd #137 & 138,TX,75044,(972) 495-8882,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,,,Vietnamese/English,,Yes,,,"Che Banh Mi 1 Garland""",,https://www.google.com/maps/place/?q=place_id:ChIJGeN2O4oeTIYRtVwzEJMd5Vw,PLACE_ID
Banh Mi Cali,Restaurant,Vietnamese,"3565 W Walnut St, Suite H",TX,75042,(469) 286-6617,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,,,Vietnamese/English,,Yes,,,Banh Mi Cali Garland,,https://www.google.com/maps/place/?q=place_id:ChIJQX3jexkfTIYR90ohiND1fdk,PLACE_ID
Laxanh Restaurant,Restaurant,Vietnamese,3575 W Walnut St,TX,75042,(214) 299-9285,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 10:00 PM,,,Vietnamese/English,,Yes,,,Laxanh Restaurant Garland,,https://www.google.com/maps/place/?q=place_id:ChIJC2GF7hUeTIYRMswvM-sde-0,PLACE_ID
DaLat Vietnamese Restaurant & Bar,Restaurant,Vietnamese,2537 N Fitzhugh Ave,TX,75204,(214) 827-3200,,,,,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,,,,Vietnamese/English,,Yes,,"Karaoke available, late night","DaLat Restaurant Dallas""",,https://www.google.com/maps/place/?q=place_id:ChIJXdzVXi6fToYR0XMPVJAfIG0,PLACE_ID
Ngon Vietnamese Kitchen,Restaurant,Vietnamese,1907 Greenville Ave,TX,75206,Contact restaurant,12:00 PM - 9:00 PM,12:00 PM - 9:00 PM,12:00 PM - 9:00 PM,12:00 PM - 9:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,,,,Vietnamese/English,,Yes,,"Women-led, Ha Noi street food inspired","Ngon Vietnamese Kitchen Dallas""",,https://www.google.com/maps/place/?q=place_id:ChIJb0riO4KfToYRCT26hpHN0bo,PLACE_ID
I Luv Pho,Restaurant,Vietnamese,7929 Forest Ln,TX,75230,(972) 803-6269,,,,,10:30 AM - 8:30 PM,10:30 AM - 8:30 PM,,,,Vietnamese/English,,Yes,,,I Luv Pho Dallas,,https://www.google.com/maps/place/?q=place_id:ChIJeU_72xIgTIYRRVHhDnVtqDU,PLACE_ID
Pho Crimson,Restaurant,Vietnamese,3000 Blackburn St #140c,TX,75204,Contact restaurant,11:00 AM - 8:45 PM,11:00 AM - 8:45 PM,11:00 AM - 8:45 PM,11:00 AM - 8:45 PM,11:00 AM - 8:45 PM,11:00 AM - 8:45 PM,11:00 AM - 8:45 PM,,,Vietnamese/English,,Yes,,,"Pho Crimson Dallas""",,https://www.google.com/maps/place/?q=place_id:ChIJS5ZkstWeToYRAa4Dq_YWr2M,PLACE_ID
Pho Vietz,Restaurant,Vietnamese,2555 Inwood Rd Unit 143,TX,75235,(214) 272-3682,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 5:00 PM,,,Vietnamese/English,,Yes,,,Pho Vietz Dallas,,https://www.google.com/maps/place/?q=place_id:ChIJ3wIheyifToYR7SA74TRFUek,PLACE_ID
Pho Midway,Restaurant,Vietnamese,17610 Midway Rd Ste 140,TX,75287,(972) 685-9949,,**CLOSED**,,,,,,,,Vietnamese/English,,Yes,,"Family-operated, serves Farmers Branch area","Pho Midway Dallas""",,https://www.google.com/maps/place/?q=place_id:ChIJhSriGgQkTIYRXjVdfBr7-rw,PLACE_ID
Pho DK,Restaurant,Vietnamese,14891 Preston Road #130,TX,75254,(972) 708-1050,,,,,,,,,,Vietnamese/English,,Yes,,30 years family experience from Saigon,"Pho DK Dallas""",,https://www.google.com/maps/place/?q=place_id:ChIJw3IMDRAhTIYRyDNOuudmneI,PLACE_ID
LaVui Vietnamese Restaurant,Restaurant,Vietnamese,5321 Maple Ave,TX,75235,Contact restaurant,,11:00 AM - 3:00 PM & 4:30 PM - 9:00 PM,,11:00 AM - 3:00 PM & 4:30 PM - 11:00 PM,,11:00 AM - 11:00 PM,3:00 PM - 11:00 PM,,,Vietnamese/English,,Yes,,,LaVui Restaurant Dallas,,https://www.google.com/maps/place/?q=place_id:ChIJO1XXaN-fToYRAuyP8PExA1g,PLACE_ID
Nammi Vietnamese Street Food,Restaurant,Vietnamese,920 S Harwood St,TX,75201,Contact restaurant,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,,,Vietnamese/English,,Yes,,,"Nammi Vietnamese Dallas""",,https://www.google.com/maps/place/?q=place_id:ChIJ5WWLd-GYToYRFpSR-x7CLoA,PLACE_ID
Bep Nha Vietnamese Kitchen,Restaurant,Vietnamese,9780 Walnut St Suite 120,TX,75243,(972) 644-6995,10:00 AM - 5:00 PM,**CLOSED**,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,9:00 AM - 9:00 PM,,,Vietnamese/English,,Yes,,,Bep Nha Dallas,,https://www.google.com/maps/place/?q=place_id:ChIJdSAmhHQfTIYR3yBKYtFLvG4,PLACE_ID
Pho Hanabi,Restaurant,Vietnamese,10675 Northwest Hwy #1635,TX,75238,(214) 221-0903,11:00 AM - 8:30 PM,11:00 AM - 8:30 PM,11:00 AM - 8:30 PM,11:00 AM - 8:30 PM,11:00 AM - 8:30 PM,11:00 AM - 8:30 PM,11:00 AM - 7:30 PM,,,Vietnamese/English,,Yes,,,Pho Hanabi Dallas,,https://www.google.com/maps/place/?q=place_id:ChIJM8uoFRuhToYRWDzZfGja4Ts,PLACE_ID
Mot Hai Ba Vietnamese,Restaurant,Vietnamese,6047 Lewis St.,TX,75206,Contact restaurant,**CLOSED**,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 11:00 PM,5:00 PM - 11:00 PM,5:00 PM - 9:00 PM,,,Vietnamese/English,,Yes,,Dinner only,"Mot Hai Ba Dallas""",,https://www.google.com/maps/place/?q=place_id:ChIJ79xTeE6fToYR8ioqjlo5ut8,PLACE_ID
Pho Kitchen,Restaurant,Vietnamese,8687 N Central Expy,TX,75225,(214) 706-3595,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,12:00 PM - 6:00 PM,,,Vietnamese/English,,Yes,,,Pho Kitchen Dallas,,https://www.google.com/maps/place/?q=place_id:ChIJi_vsiL6fToYR2AGazIc8Sbw,PLACE_ID
Pho Saigon #8,Restaurant,Vietnamese,2240 Royal Ln STE #102,TX,75229,(972) 290-0743,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 3:00 PM,,,Vietnamese/English,,Yes,,,Pho Saigon 8 Dallas,,https://www.google.com/maps/place/?q=place_id:ChIJRS7XjfMnTIYRrTBxNZLtbyk,PLACE_ID
Malai Kitchen,Restaurant,Vietnamese,3699 McKinney Ave Ste 319,TX,75204,(214) 599-7857,,,,,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,,,,Vietnamese/English,,Yes,,Vietnamese & Thai fusion,"Malai Kitchen Dallas""",,https://www.google.com/maps/place/?q=place_id:ChIJQyZ5EtSeToYRcb1Tv5sQL90,PLACE_ID
Banh Mi Dalat,Restaurant,Vietnamese,3733 N Josey Ln #115,TX,75007,Contact via website,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 5:00 PM,**CLOSED**,,,Vietnamese/English,,Yes,,,Banh Mi Dalat Carrollton,,https://www.google.com/maps/place/?q=place_id:ChIJtcywArAlTIYREQm27bVWsU4,PLACE_ID
Pho Bistro,Restaurant,Vietnamese,"3052 Old Denton Rd, Suite 112",TX,75007,(972) 245-9600,10:00 AM - 7:30 PM,10:00 AM - 7:30 PM,10:00 AM - 7:30 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,**CLOSED**,,,Vietnamese/English,,Yes,,Family-owned since 2003,"Pho Bistro Carrollton""",,https://www.google.com/maps/place/?q=place_id:ChIJxSz5bu0lTIYRL0SD4ouYTyE,PLACE_ID
Pho Pasteur II,Restaurant,Vietnamese,1927 E Belt Line Rd,TX,75006,Contact restaurant,,,,,,,,,,Vietnamese/English,,Yes,,,Pho Pasteur II Carrollton,,https://www.google.com/maps/place/?q=place_id:ChIJuzxz2FwmTIYReyipRuggWfw,PLACE_ID
District One Saigon Street Food,Restaurant,Vietnamese,2540 Old Denton Rd #142,TX,75006,(972) 242-2609,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,,,Vietnamese/English,,Yes,,Vietnamese vermicelli dishes,"District One Saigon Carrollton""",,https://www.google.com/maps/place/?q=place_id:ChIJM8-n2lQlTIYReoMlKj6Ho2s,PLACE_ID
Pho Express,Restaurant,Vietnamese,2012 E Belt Line Rd,TX,75006,(972) 417-1017,**CLOSED**,11:00 AM - 5:00 PM,11:00 AM - 5:00 PM,11:00 AM - 5:00 PM,11:00 AM - 5:00 PM,11:00 AM - 5:00 PM,11:00 AM - 5:00 PM,,,Vietnamese/English,,Yes,,Founded 2017,"Pho Express Carrollton""",,https://www.google.com/maps/place/?q=place_id:ChIJRZR1RlwmTIYR0VTCU1k5KFc,PLACE_ID
Ba Lee Sandwich Shop,Restaurant,Vietnamese,1927 E Belt Line Rd,TX,75006,(972) 416-5850,,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 2:00 PM,,,,Vietnamese/English,,Yes,,,Ba Lee Sandwich Carrollton,,https://www.google.com/maps/place/?q=place_id:ChIJuzxz2FwmTIYRxw2ySM7QrJ8,PLACE_ID
Kin's Restaurant,Restaurant,Vietnamese,1927 E Belt Line Rd #122,TX,75006,(469) 900-3007,**CLOSED**,,,,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,,,,Vietnamese/English,,Yes,,Vietnamese & Chinese fusion,"Kin's Restaurant Carrollton""",,https://www.google.com/maps/place/?q=place_id:ChIJI3329wsnTIYRrNq8xwI0eNg,PLACE_ID
Mập Kitchen,Restaurant,Vietnamese,2660 Kelly Blvd Apt 114,TX,75007,(469) 588-1433,10:30 AM - 8:30 PM,**CLOSED**,10:30 AM - 8:30 PM,10:30 AM - 8:30 PM,10:30 AM - 9:00 PM,10:30 AM - 9:00 PM,11:00 AM - 8:00 PM,,,Vietnamese/English,,Yes,,Vietnamese & Thai dishes,"Map Kitchen Carrollton""",,https://www.google.com/maps/place/?q=place_id:ChIJ6wV_XBwlTIYRIMWygzfi3q4,PLACE_ID
Trung Nguyen E-Coffee,Restaurant,Vietnamese,"2225 Old Denton Road, Unit 220",TX,75006,Contact restaurant,,,,,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,,,,Vietnamese/English,,Yes,,Vietnamese coffee specialist,"Trung Nguyen E-Coffee Carrollton""",,https://www.google.com/maps/place/?q=place_id:ChIJreFcDQAnTIYRF2PPYstbsqY,PLACE_ID
Pho Bac,Restaurant,Vietnamese,153 N Plano Rd,TX,75081,(972) 231-9205,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 8:00 PM,,,Vietnamese/English,,Yes,,Opens early at 8 AM,"Pho Bac Richardson TX""",,https://www.google.com/maps/place/?q=place_id:ChIJF9do3fgeTIYRi3dL_KcDcAA,PLACE_ID
Saigon Block,Restaurant,Vietnamese,"2150 East Arapaho Road, Suite 200",TX,75081,Contact restaurant,10:00 AM - 9:30 PM,10:00 AM - 9:30 PM,10:00 AM - 9:30 PM,10:00 AM - 9:30 PM,11:30 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 9:30 PM,,,Vietnamese/English,,Yes,,,Saigon Block Richardson TX,,https://www.google.com/maps/place/?q=place_id:ChIJedTRPJMeTIYRRR0WTTaes4w,PLACE_ID
Pho OK! of Richardson,Restaurant,Vietnamese,955 E Campbell Rd #100,TX,75081,(972) 203-7157,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,11:00 AM - 5:00 PM,**CLOSED**,,,Vietnamese/English,,Yes,,,Pho OK Richardson,,https://www.google.com/maps/place/?q=place_id:ChIJlw_KticfTIYRd_hRDMniH_Q,PLACE_ID
Pho Sen Noodle & Grill,Restaurant,Vietnamese,"400 N Greenville Ave, Suite 15",TX,75081,(214) 484-1833,10:30 AM - 8:30 PM,**CLOSED**,10:30 AM - 8:30 PM,10:30 AM - 8:30 PM,10:30 AM - 8:30 PM,10:30 AM - 8:30 PM,10:30 AM - 8:30 PM,,,Vietnamese/English,,Yes,,,Pho Sen Richardson,,https://www.google.com/maps/place/?q=place_id:ChIJk7vIoEQfTIYRyDv7ox44lNg,PLACE_ID
Pho Legacy Vietnamese Noodle & Grill,Restaurant,Vietnamese,3109 N. Belt Line Rd Ste 142,TX,75062,(972) 871-9555,,,,,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,,,,Vietnamese/English,,Yes,,100+ Vietnamese dishes,"Pho Legacy Irving TX""",,https://www.google.com/maps/place/?q=place_id:ChIJTcjzkzCCToYRBRNWl8gpukQ,PLACE_ID
Pho MC,Restaurant,Vietnamese,7447 N MacArthur Blvd #170,TX,,Contact restaurant,,,,,,,,,,Vietnamese/English,,Yes,,,Pho MC Irving TX,,https://www.google.com/maps/place/?q=place_id:ChIJMWHmYjYpTIYRGhHoZD_D6Ek,PLACE_ID
Pho Empire,Restaurant,Vietnamese,3591 N Belt Line Rd,TX,75062,(972) 594-7259,,,,,,,,,,Vietnamese/English,,Yes,,,Pho Empire Irving,,https://www.google.com/maps/place/?q=place_id:ChIJ2dyDkzuCToYR8kECeK7zj7o,PLACE_ID
Pho Mac at Preston,Restaurant,Vietnamese,"8240 Preston Road, Suite 180",TX,75024,(469) 362-8676,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 8:00 PM,,,Vietnamese/English,,Yes,,,Pho Mac Plano,,https://www.google.com/maps/place/?q=place_id:ChIJj2bI2MQ9TIYRz1y_hYXQNP0,PLACE_ID
Pho Colonial (What The Pho),Restaurant,Vietnamese,"221 W. Parker Rd, Ste 550",TX,75023,(469) 543-1305,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 8:00 PM,,,Vietnamese/English,,Yes,,,What The Pho Plano,,https://www.google.com/maps/place/?q=place_id:ChIJhzRAzMcZTIYRhCtw0XsnWfg,PLACE_ID
Pho Que Huong Noodles & Grill (Jupiter Rd),Restaurant,Vietnamese,1401 Jupiter Rd #100,TX,75074,(945) 215-0607 or (972) 424-5205,11:00 AM - 8:30 PM,11:00 AM - 8:30 PM,11:00 AM - 8:30 PM,11:00 AM - 8:30 PM,11:00 AM - 8:30 PM,,,,,Vietnamese/English,,Yes,,,Pho Que Huong Jupiter Plano,,https://www.google.com/maps/place/?q=place_id:ChIJDYRt1pwYTIYRIml_St9OYMI,PLACE_ID
Pho One,Restaurant,Vietnamese,2305 S State Hwy 121,TX,75067,(972) 315-8888,,,,,10:30 AM - 10:00 PM,10:30 AM - 10:00 PM,,,,Vietnamese/English,,Yes,,,Pho One Lewisville TX,,https://www.google.com/maps/place/?q=place_id:ChIJ5XY_Ko4uTIYRHBe0oYLZY-4,PLACE_ID
Pho Que Huong (Lewisville),Restaurant,Vietnamese,291 E Round Grove Rd,TX,75067,(214) 488-9122,,,,,,,,,,Vietnamese/English,,Yes,,,Pho Que Huong Lewisville,,https://www.google.com/maps/place/?q=place_id:ChIJB-Gy4ZIuTIYRkxtr7RIQzic,PLACE_ID
Pho Bistro 2,Restaurant,Vietnamese,310 E Round Grove Rd Ste 100,TX,75067,(469) 763-3299,,,,,,,,,,Vietnamese/English,,Yes,,,Pho Bistro 2 Lewisville,,https://www.google.com/maps/place/?q=place_id:ChIJ-WCLgIgvTIYRkL6H5Coq6zY,PLACE_ID
Viet- Voyage Buffet,Restaurant,Vietnamese,2615 W Pioneer Pkwy,TX,75051,(972) 975-5123,11:00 AM - 4:00 PM & 5:00 PM - 9:00 PM,11:00 AM - 4:00 PM & 5:00 PM - 9:00 PM,11:00 AM - 4:00 PM & 5:00 PM - 9:00 PM,11:00 AM - 4:00 PM & 5:00 PM - 9:00 PM,11:00 AM - 4:00 PM & 5:00 PM - 10:00 PM,11:00 AM - 10:00 PM (continuous),11:00 AM - 10:00 PM (continuous),,,Vietnamese/English,,Yes,,,"Viet Voyage Buffet Grand Prairie""",,https://www.google.com/maps/place/?q=place_id:ChIJw36qcACHToYRciNUxvKJ0Zk,PLACE_ID
Pho Duc,Restaurant,Vietnamese,5224 S State Hwy 360 #240,TX,75052,(214) 444-5545,,,,,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,,,,Vietnamese/English,,Yes,,,Pho Duc Grand Prairie,,https://www.google.com/maps/place/?q=place_id:ChIJmdtRLi-JToYRhcpEaOBOpIw,PLACE_ID
Banh Mi Number 1,Restaurant,Vietnamese,2625 W Pioneer Pkwy #206,TX,75051,(972) 975-5159,,,8:00 AM - 8:00 PM,,,,,,,Vietnamese/English,,Yes,,,"Banh Mi Number 1 Grand Prairie""",,https://www.google.com/maps/place/?q=place_id:ChIJM3qkiy2GToYREg8gWAqL2Nw,PLACE_ID
Pho 544,Restaurant,Vietnamese,121 East FM 544,TX,75098,Contact restaurant,10:00 AM - 8:00 PM (Dining room closes 7:40 PM),10:00 AM - 8:00 PM (Dining room closes 7:40 PM),10:00 AM - 8:00 PM (Dining room closes 7:40 PM),10:00 AM - 8:00 PM (Dining room closes 7:40 PM),10:00 AM - 8:00 PM (Dining room closes 7:40 PM),10:00 AM - 8:00 PM (Dining room closes 7:40 PM),10:00 AM - 4:00 PM (Dining room closes 3:30 PM),,,Vietnamese/English,,Yes,,Family business,"Pho 544 Wylie TX""",,https://www.google.com/maps/place/?q=place_id:ChIJlS4nvG0bTIYRQ4NXRlUcJys,PLACE_ID
Pho Street Cafe,Restaurant,Vietnamese,3483 FM 544 #110,TX,75098,Contact restaurant,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 8:00 PM,,,Vietnamese/English,,Yes,,,Pho Street Cafe Wylie,,https://www.google.com/maps/place/?q=place_id:ChIJoel_qkYbTIYRRbXUbciFXF0,PLACE_ID
Panda Pho & Boba House,Restaurant,Vietnamese,6702 Dalrock Rd Ste 108,TX,75089,(469) 366-9710,**CLOSED**,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,11:00 AM - 8:00 PM,11:00 AM - 8:00 PM,11:00 AM - 8:00 PM,,,Vietnamese/English,,Yes,,Pho & Boba combination,"Panda Pho Rowlett TX""",,https://www.google.com/maps/place/?q=place_id:ChIJv6UNgnICTIYRQS40ZgczF0U,PLACE_ID
Pho Garden,Restaurant,Vietnamese,423 E I-30,TX,75087,(972) 771-2777,11:00 AM - 9:00 PM (Dine-in),11:00 AM - 9:00 PM (Dine-in),11:00 AM - 9:00 PM (Dine-in),11:00 AM - 9:00 PM (Dine-in),11:00 AM - 9:00 PM (Dine-in),11:00 AM - 9:00 PM (Dine-in),,,,Vietnamese/English,,Yes,,Serves Sachse/Mesquite via delivery,"Pho Garden Rockwall TX""",,https://www.google.com/maps/place/?q=place_id:ChIJZ9QfNxOqToYRUBpB5A5IOc4,PLACE_ID
Healthy Banh Mi,Restaurant,Vietnamese,539 E Interstate 30,TX,75087,(469) 314-1294,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,11:00 AM - 5:00 PM,**CLOSED**,,,Vietnamese/English,,Yes,,,Healthy Banh Mi Rockwall,,https://www.google.com/maps/place/?q=place_id:ChIJ_zaATBOqToYRMBtaZhg2iI8,PLACE_ID
Pho Yen Phi,Restaurant,Vietnamese,150 S Denton Tap Rd #112,TX,75019,(469) 312-3581,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,**CLOSED**,,,Vietnamese/English,,Yes,,,Pho Yen Phi Coppell,,https://www.google.com/maps/place/?q=place_id:ChIJGT_CkU4pTIYRlldoROZmf0Y,PLACE_ID
Pho Truong,Restaurant,Vietnamese,516 W Arapaho Rd #112,TX,75080,,,,,,,,,,,Vietnamese/English,Casual Vietnamese dining,Yes,,,Pho Truong Richardson,,https://www.google.com/maps/place/?q=place_id:ChIJfyEjCGkfTIYRYo5BCXEddSI,PLACE_ID
Banh Mi Dalat,Restaurant,Vietnamese,3733 N Josey Ln #115,TX,75007,,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 5:00 PM,CLOSED,,,Vietnamese/English,Authentic Banh Mi,Yes,,,Banh Mi Dalat Carrollton,,https://www.google.com/maps/place/?q=place_id:ChIJtcywArAlTIYREQm27bVWsU4,PLACE_ID
Pho Pasteur II,Restaurant,Vietnamese,1927 E Belt Line Rd,TX,75006,,9:00 AM - 8:15 PM,9:00 AM - 8:15 PM,9:00 AM - 8:15 PM,9:00 AM - 8:15 PM,9:00 AM - 8:15 PM,9:00 AM - 8:15 PM,9:00 AM - 8:15 PM,,,Vietnamese/English,Pho restaurant,Yes,,,Pho Pasteur II Carrollton,,https://www.google.com/maps/place/?q=place_id:ChIJuzxz2FwmTIYReyipRuggWfw,PLACE_ID
Kins Restaurant,Restaurant,Vietnamese,1927 E Belt Line Rd #122,TX,75006,(469) 900-3007,CLOSED,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 9:00 PM,,,Vietnamese/English,Vietnamese & Chinese fusion,Yes,,,Kins Restaurant Carrollton,,https://www.google.com/maps/place/?q=place_id:ChIJI3329wsnTIYRrNq8xwI0eNg,PLACE_ID
Map Kitchen,Restaurant,Vietnamese,2660 Kelly Blvd Apt 114,TX,75007,(469) 588-1433,10:30 AM - 8:30 PM,CLOSED,10:30 AM - 8:30 PM,10:30 AM - 8:30 PM,10:30 AM - 9:00 PM,10:30 AM - 9:00 PM,11:00 AM - 8:00 PM,,,Vietnamese/English,Vietnamese & Thai dishes,Yes,,,Map Kitchen Carrollton,,https://www.google.com/maps/place/?q=place_id:ChIJ6wV_XBwlTIYRIMWygzfi3q4,PLACE_ID
